<VALUE_LABEL_DTABLE
  ni_type="2*String"
  ni_dimen="514" >
 "1060" "SL_Acb"
 "1309" "SL_Nu7"
 "1513" "SR_HiA"
 "1549" "SR_STIA"
 "1621" "SR_CMn-PF"
 "1633" "SR_CM"
 "1645" "SR_VMPo-VMB"
 "1741" "SR_tz"
 "1753" "SR_Lat"
 "4" "CL_area_32"
 "130" "CL_area_23"
 "166" "CL_TGa"
 "619" "CR_MST"
 "715" "CR_RM/RTM"
 "727" "CR_Ins"
 "739" "CR_V3d/V3A"
 "1061" "SL_Tu"
 "1073" "SL_ST"
 "1610" "SR_PPit"
 "1622" "SR_SPFC"
 "1634" "SR_Re-Rh-Xi"
 "1646" "SR_VPI"
 "1658" "SR_DLG"
 "1730" "SR_ILL-VLL"
 "1754" "SR_Int"
 "5" "CL_area_25"
 "155" "CL_caudal_ERh"
 "179" "CL_post_TE"
 "608" "CR_MIP"
 "1086" "SL_Pa"
 "1182" "SL_PBG"
 "1194" "SL_OM"
 "1290" "SL_Ve"
 "1527" "SR_BM"
 "1539" "SR_PaL"
 "1647" "SR_VM"
 "1659" "SR_MG"
 "1743" "SR_Pn"
 "168" "CL_TGd"
 "609" "CR_fundus_IPS"
 "1063" "SL_GP"
 "1075" "SL_SFi"
 "1099" "SL_STh"
 "1183" "SL_MiTg"
 "1195" "SL_mlf"
 "1291" "SL_DVC"
 "1504" "SR_Cl"
 "1516" "SR_SA"
 "1528" "SR_VCo"
 "1612" "SR_ZI-H"
 "1624" "SR_SG"
 "1720" "SR_LC-Me5"
 "1744" "SR_spf"
 "7" "CL_area_24a/b"
 "121" "CL_area_7a/b"
 "718" "CR_RTp"
 "1076" "SL_SDB"
 "1088" "SL_VMH"
 "1184" "SL_PrCnF"
 "1292" "SL_n8"
 "1529" "SR_AHi"
 "1625" "SR_Lim"
 "1637" "SR_VA"
 "1649" "SR_LP"
 "1721" "SR_me5"
 "1733" "SR_SubC"
 "1757" "SR_Fas"
 "1769" "SR_PVCbCx"
 "134" "CL_area_v23"
 "158" "CL_mid_ERh"
 "230" "CL_Ri"
 "242" "CL_V3v"
 "707" "CR_CL/ML"
 "1053" "SL_Cd"
 "1089" "SL_MEm"
 "1161" "SL_Pi"
 "1173" "SL_SCo"
 "1185" "SL_CnF"
 "1197" "SL_MR"
 "1293" "SL_Pr"
